dataset,seed,capacity,requests,algorithm,hits,misses,hit_rate
lru,7,100,25952,2Q,5335,20617,0.20557182490752157
lru,7,100,25952,LIRS,15556,10396,0.5994143033292232
lru,7,100,25952,BELADY,20119,5833,0.7752389025893958
lru,8,100,25952,LRU,20131,5821,0.7757012946979038
lru,8,100,25952,LFU,5904,20048,0.22749691738594327
lru,8,100,25952,ARC,18429,7523,0.7101186806411838
lru,8,100,25952,2Q,5337,20615,0.2056488902589396
lru,8,100,25952,LIRS,15537,10415,0.5986821824907521
lru,8,100,25952,BELADY,20131,5821,0.7757012946979038
lru,9,100,25952,LRU,20130,5822,0.7756627620221949
lru,9,100,25952,LFU,5904,20048,0.22749691738594327
lru,9,100,25952,ARC,18425,7527,0.7099645499383477
lru,9,100,25952,2Q,5338,20614,0.2056874229346486
lru,9,100,25952,LIRS,15564,10388,0.5997225647348952
lru,9,100,25952,BELADY,20130,5822,0.7756627620221949
lfu,0,100,16946,LRU,13107,3839,0.7734568629765136
lfu,0,100,16946,LFU,15237,1709,0.8991502419450018
lfu,0,100,16946,ARC,13107,3839,0.7734568629765136
lfu,0,100,16946,2Q,12058,4888,0.7115543491089342
lfu,0,100,16946,LIRS,12026,4920,0.7096659978756049
lfu,0,100,16946,BELADY,15237,1709,0.8991502419450018
lfu,1,100,16946,LRU,13087,3859,0.7722766434556828
lfu,1,100,16946,LFU,15237,1709,0.8991502419450018
lfu,1,100,16946,ARC,13087,3859,0.7722766434556828
lfu,1,100,16946,2Q,12022,4924,0.7094299539714387
lfu,1,100,16946,LIRS,11968,4978,0.7062433612651954
lfu,1,100,16946,BELADY,15237,1709,0.8991502419450018
lfu,2,100,16946,LRU,13103,3843,0.7732208190723474
lfu,2,100,16946,LFU,15237,1709,0.8991502419450018
lfu,2,100,16946,ARC,13103,3843,0.7732208190723474
lfu,2,100,16946,2Q,11952,4994,0.7052991856485307
lfu,2,100,16946,LIRS,12026,4920,0.7096659978756049
lfu,2,100,16946,BELADY,15237,1709,0.8991502419450018
lfu,3,100,16946,LRU,13118,3828,0.7741059837129706
lfu,3,100,16946,LFU,15237,1709,0.8991502419450018
lfu,3,100,16946,ARC,13117,3829,0.774046972736929
lfu,3,100,16946,2Q,12051,4895,0.7111412722766435
lfu,3,100,16946,LIRS,12012,4934,0.7088398442110232
lfu,3,100,16946,BELADY,15237,1709,0.8991502419450018
lfu,4,100,16946,LRU,13129,3817,0.7747551044494276
lfu,4,100,16946,LFU,15237,1709,0.8991502419450018
lfu,4,100,16946,ARC,13129,3817,0.7747551044494276
lfu,4,100,16946,2Q,11978,4968,0.7068334710256108
lfu,4,100,16946,LIRS,11985,4961,0.7072465478579015
lfu,4,100,16946,BELADY,15237,1709,0.8991502419450018
lfu,5,100,16946,LRU,13117,3829,0.774046972736929
lfu,5,100,16946,LFU,15237,1709,0.8991502419450018
lfu,5,100,16946,ARC,13117,3829,0.774046972736929
lfu,5,100,16946,2Q,12067,4879,0.7120854478933082
lfu,5,100,16946,LIRS,12004,4942,0.7083677564026909
lfu,5,100,16946,BELADY,15237,1709,0.8991502419450018
lfu,6,100,16946,LRU,13107,3839,0.7734568629765136
lfu,6,100,16946,LFU,15237,1709,0.8991502419450018
lfu,6,100,16946,ARC,13107,3839,0.7734568629765136
lfu,6,100,16946,2Q,12055,4891,0.7113773161808097
lfu,6,100,16946,LIRS,12078,4868,0.7127345686297651
lfu,6,100,16946,BELADY,15237,1709,0.8991502419450018
lfu,7,100,16946,LRU,13081,3865,0.7719225775994335
lfu,7,100,16946,LFU,15237,1709,0.8991502419450018
lfu,7,100,16946,ARC,13081,3865,0.7719225775994335
lfu,7,100,16946,2Q,11998,4948,0.7080136905464416
lfu,7,100,16946,LIRS,11992,4954,0.7076596246901924
lfu,7,100,16946,BELADY,15237,1709,0.8991502419450018
lfu,8,100,16946,LRU,13119,3827,0.7741649946890121
lfu,8,100,16946,LFU,15237,1709,0.8991502419450018
lfu,8,100,16946,ARC,13119,3827,0.7741649946890121
lfu,8,100,16946,2Q,11925,5021,0.7037058892954089
lfu,8,100,16946,LIRS,12015,4931,0.7090168771391478
lfu,8,100,16946,BELADY,15237,1709,0.8991502419450018
lfu,9,100,16946,LRU,13104,3842,0.773279830048389
lfu,9,100,16946,LFU,15237,1709,0.8991502419450018
lfu,9,100,16946,ARC,13104,3842,0.773279830048389
lfu,9,100,16946,2Q,12022,4924,0.7094299539714387
lfu,9,100,16946,LIRS,12054,4892,0.7113183052047681
lfu,9,100,16946,BELADY,15237,1709,0.8991502419450018
arc,0,100,22919,LRU,11474,11445,0.5006326628561456
arc,0,100,22919,LFU,10429,12490,0.45503730529255204
arc,0,100,22919,ARC,11795,11124,0.5146385095335748
arc,0,100,22919,2Q,11065,11854,0.48278720712072953
arc,0,100,22919,LIRS,10985,11934,0.4792966534316506
arc,0,100,22919,BELADY,13088,9831,0.571054583533313
arc,1,100,22926,LRU,11458,11468,0.499781907005147
arc,1,100,22926,LFU,10435,12491,0.45516008025822213
arc,1,100,22926,ARC,11831,11095,0.5160516444211812
arc,1,100,22926,2Q,10948,11978,0.4775364215301405
arc,1,100,22926,LIRS,10969,11957,0.4784524121085231
arc,1,100,22926,BELADY,13088,9838,0.5708802233272268
